Medal,Name,Sport,Event
Gold,William Petersson,Athletics,Men 's Long Jump
Gold,Harry Stenqvist,Cycling,Men 's Individual Time Trial
Gold,Arvid Wallman,Diving,Plain high diving
Gold,Janne Lundblad,Equestrian,Individual dressage
Gold,Helmer Morner,Equestrian,Individual three-day event
Gold,"Helmer Mörner , Åge Lundström , Georg von Braun and Gustaf Dyrsch",Equestrian,Team three-day event
Gold,"Hans von Rosen , Claës König , Daniel Norling and Frank Martin",Equestrian,Team jumping
Gold,Gillis Grafström,Figure skating,Men 's singles
Gold,Magda Julin,Figure skating,Women 's singles
Gold,Swedish Men 's Team,Gymnastics,Men 's team ( Swedish system )
Gold,Gustaf Dyrssen,Modern pentathlon,Men 's Individual
Gold,"Gösta Lundqvist , Rolf Steffenburg , Gösta Bengtsson and Axel Calvert",Sailing,Men 's 30 m² class
Gold,"Tore Holm , Yngve Holm , Axel Rydin and Georg Tengwall",Sailing,Men 's 40 m² class
Gold,Hugo Johansson,Shooting,Men 's 600m free rifle
Gold,Håkan Malmrot,Swimming,Men 's 200m breaststroke
Gold,Håkan Malmrot,Swimming,Men 's 400m breaststroke
Gold,Anders Larsson,Wrestling,Freestyle light heavyweight
Gold,Carl Westergren,Wrestling,Greco-Roman middleweight
Gold,Claes Johanson,Wrestling,Greco-Roman light heavyweight
Silver,Erik Backman,Athletics,Men 's Individual Cross country
