Team,Location,Stadium,Stadium capacity
AS Port-Louis 2000,Port Louis,Stade St. François Xavier,"2,000"
AS Rivière du Rempart,Mapou,Stade Anjalay,"30,000"
AS de Vacoas-Phoenix,Vacoas-Phoenix,Stade George V,"6,200"
Centre Technique National François-Blaquart,Trianon,MFA Headquarters,
Cercle de Joachim SC,Curepipe,Stade George V,"6,200"
Curepipe Starlight SC,Curepipe,Stade George V,"6,200"
Entente Boulet Rouge,Centre de Flacq,Stade Auguste Vollaire,"4,000"
Etoile de L'Ouest SC,Bambous,Stade Germain Comarmond,"5,000"
Faucon Flacq SC,Centre de Flacq,Stade Auguste Vollaire,"4,000"
Pamplemousses SC,Belle Vue Maurel,Stade Anjalay,"30,000"
Petite Rivière Noire SC,Petite Rivière Noire,Stade Germain Comarmond,"5,000"
Pointe-aux-Sables Mates,Pointe-aux-Sables,Stade Sir Gaëtan Duval,"6,500"
Savanne SC,Souillac,Stade Harry Latour,"2,000"
US Highlands,Highlands,Stade Quartier Militaire,"4,000"
