Title,Date,Developer,Platform ( s ),Region ( s )
Miami Law,"June 9 , 2009",Hudson Soft,Nintendo DS,NA
Blaster Master,"December 14 , 2009",Sunsoft,Virtual Console,"NA , EU"
Blaster Master : Overdrive,"February 8 , 2010",Sunsoft,WiiWare,"NA , EU"
Arc the Lad,"October 12 , 2010 [ NA ] January 18 , 2012 [ EU ]","SCEI , G-Craft",PlayStation Network,"NA , EU"
Alundra,"October 12 , 2010 [ NA ] August 15 , 2012 [ EU ]",Matrix Software,PlayStation Network,"NA , EU"
Arc the Lad II,"November 23 , 2010 [ NA ] March 28 , 2012 [ EU ]","SCEI , Arc Entertainment",PlayStation Network,"NA , EU"
Arc the Lad III,"January 4 , 2011 [ NA ] June 13 , 2012 [ EU ]","SCEI , Arc Entertainment",PlayStation Network,"NA , EU"
Vanguard Bandits,"November 15 , 2011",Human Entertainment,PlayStation Network,"NA , EU"
Class of Heroes 2,"June 4 , 2013",Acquire,PlayStation Portable,NA
Class of Heroes 2G,"June 2 , 2015",Acquire,PlayStation 3,NA
Summon Night 5,"December 15 , 2015",Felistella,PlayStation Portable,NA
Summon Night 6 : Lost Borders,"October 31 , 2017 [ NA ] November 15 , 2017 [ EU ]",Media.Vision,"PlayStation 4 , PlayStation Vita","NA , EU"
