Year,Player,Nationality,Team,Total
2008,Roberto Brown,Panama,Montreal Impact,"2 goals ( 0 assists , 157 minutes )"
2009,Dwayne De Rosario,Canada,Toronto FC,3 goals
2010,Dwayne De Rosario,Canada,Toronto FC,1 goal ( 1 assist )
2011,Maicon Santos,Brazil,Toronto FC,3 goals
2012,Sebastien Le Toux,France,Vancouver Whitecaps FC,"2 goals ( 0 assists , 168 minutes )"
2013,Camilo Sanvezzo,Brazil,Vancouver Whitecaps FC,3 goals
2014,Jack McInerney,United States,Montreal Impact,3 goals
2015,Tomi Ameobi,England,FC Edmonton,4 goals
2016,Jordan Hamilton,Canada,Toronto FC,2 goals ( 1 assist )
2017,Sebastian Giovinco,Italy,Toronto FC,3 goals
2018,Jonathan Osorio,Canada,Toronto FC,3 goals ( 1 assist )
2019,Ignacio Piatti,Argentina,Montreal Impact,4 goals
