Medal,Name,Sport,Event
Gold,Vincent Jay,Biathlon,Men 's sprint
Gold,Jason Lamy-Chappuis,Nordic combined,Individual normal hill/10 km
Silver,Déborah Anthonioz,Snowboarding,Women 's snowboard cross
Silver,Martin Fourcade,Biathlon,Men 's mass start
Silver,Marie-Laure Brunet Sylvie Becaert Marie Dorin Sandrine Bailly,Biathlon,Women 's relay
Bronze,Vincent Jay,Biathlon,Men 's pursuit
Bronze,Marie Dorin,Biathlon,Women 's sprint
Bronze,Marie-Laure Brunet,Biathlon,Women 's pursuit
Bronze,Tony Ramoin,Snowboarding,Men 's snowboard cross
Bronze,Marion Josserand,Freestyle skiing,Women 's ski cross
Bronze,Mathieu Bozzetto,Snowboarding,Men 's parallel giant slalom
