Year,Film,Role,Director,Language
2008,Chirodini Tumi Je Amar,Pancha,Raj Chakraborty,Bengali
2009,Paran Jai Jaliya Re,Raj 's cousin,Rabi Kinagi,Bengali
2009,Challenge,Boy in Tea Stall,Raj Chakraborty,Bengali
2010,Handa and Bhonda,Sayan,Subhankar Chattopadhyay,Bengali
2010,Wanted,,Rabi Kinagi,Bengali
2010,Le Chakka,,Raj Chakraborty,Bengali
2011,Hello Memsaheb,Tinga,"Nandita Roy , Shibaprasad Mukherjee",Bengali
2012,Idiot,Himself,Ashok Pati,Bengali
2012,Khokababu,Circuit,Shankar Aiyya,Bengali
2012,Le Halwa Le,,Raja Chanda,Bengali
2013,Loveria,Bablu,Raja Chanda,Bengali
2013,Kanamachi,,Raj Chakraborty,Bengali
2013,Khiladi ( 2013 film ),Nitai,Ashok Pati,Bengali
2018,Kabir,Ratul Karmakar,Aniket Chattopadhyay,Bengali
