Pos,No,Driver,Constructor,Lap,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:30.462,
2,2,David Coulthard,McLaren - Mercedes,1:30.946,+0.484
3,3,Michael Schumacher,Ferrari,1:31.781,+1.319
4,16,Rubens Barrichello,Stewart - Ford,1:32.148,+1.686
5,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:32.276,+1.814
6,4,Eddie Irvine,Ferrari,1:32.289,+1.827
7,9,Giancarlo Fisichella,Benetton - Playlife,1:32.540,+2.078
8,6,Ralf Schumacher,Williams - Supertec,1:32.691,+2.229
9,7,Damon Hill,Jordan - Mugen-Honda,1:32.695,+2.233
10,10,Alexander Wurz,Benetton - Playlife,1:32.789,+2.327
11,22,Jacques Villeneuve,BAR - Supertec,1:32.888,+2.426
12,19,Jarno Trulli,Prost - Peugeot,1:32.971,+2.509
13,17,Johnny Herbert,Stewart - Ford,1:32.991,+2.529
14,12,Pedro Diniz,Sauber - Petronas,1:33.374,+2.912
15,5,Alessandro Zanardi,Williams - Supertec,1:33.549,+3.087
16,11,Jean Alesi,Sauber - Petronas,1:33.910,+3.448
17,15,Toranosuke Takagi,Arrows,1:34.182,+3.720
18,14,Pedro de la Rosa,Arrows,1:34.244,+3.782
19,23,Ricardo Zonta,BAR - Supertec,1:34.412,+3.950
20,18,Olivier Panis,Prost - Peugeot,1:35.068,+4.606
