Year,Title,Role,Notes
2007,CSI : Miami,Brandon Fox,"Episode : Bang , Bang , Your Debt"
2008,Privileged,Alexander,Episode : All About Friends and Family
2008,Pushing Daisies,Ares Kostopolous,Episode : Frescorts
2009,Always & Forever,Scott Holland,Television film
2009,Melrose Place,Jessie Roberts,Episode : Gower
2010,The Gates,Brett Crezski,Main role
2010,Look : The Series,Shane,Main role
2011-2012 ; 2017,Teen Wolf,Jackson Whittemore,Main role ( seasons 1-2 ) ; guest role ( season 6 )
2011,The Nine Lives of Chloe King,Kai,Episode : Dogs of War
2013-2016 ; 2018-2020,Arrow,Roy Harper / Arsenal,"Main role ( seasons 2-3 , 7 ) ; recurring role ( seasons 1 & 8 ) ; special guest star ( seasons 4 & 6 )"
2016,The Grinder,Luke Grinder,Guest role ; 2 episodes
2016,Scream Queens,Tyler,Guest role ; 2 episodes
2017,American Horror Story : Cult,Jack Samuels,Recurring role ; 6 episodes
