Caliber ( mm ),Weapon name,Country of origin,Period
30,Rheinmetall RMK30,Germany,Modern
50,Jagdfaust,Nazi Germany,World War II
57,M18 Kromuskit,United States,World War II / Cold War
73,SPG-9,Soviet Union,Cold War / Modern
74,Miniman,Sweden,Cold War
75,LG 40,Nazi Germany,World War II
75,M20,United States,World War II / Cold War
80,Breda Folgore,Italy,Cold War / Modern
82,BzK vzor 59,Czechoslovakia,Cold War
82,B-10,Soviet Union,Cold War
82,M-60,Yugoslavia,Cold War
84,M3 Carl Gustav,Sweden,Cold War / Modern
84,AT4,Sweden,Modern
88,55 S 55,Finland,Cold War
88,RCL 3.45 inch Gun,United Kingdom,World War II
90,Pvpj 1110,Sweden,Cold War / Modern
90,M67,United States,Cold War
94,RCL 3.7 inch Gun,United Kingdom,World War II / Cold War
95,95 S 58-61,Finland,Cold War
102,M28 Nuclear Recoilless Rifle,United States,Cold War
