Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Kaarlo Maaninka,Finland,Long distance,1980,Self admittance : Blood transfusioins ( not illegal at the time ),-
Remigius Machura ( born 1960 ),Czechoslovakia,Shot put,1985 1981-,Stanozolol Self admittance : Anabolic steroids,2 years ( Reduced from life ban ) -
Remigius Machura ( born 1986 ),Czech Republic,Shot put,2010,HGH,2 years
Colin Mackenzie,Great Britain,Javelin throw,1994,,3 months
Simon Magakwe,South Africa,Sprinting,2014,Refusal to submit to doping control,2 years
Maurren Maggi,Brazil,Long jump,2003,Clostebol,2 years
Mike Mahovlich,Canada,Javelin throw,1986,,
Edi Maia,Portugal,Pole vault,2008,Cannabis,"Public warning , disqualification from events"
Pascal Mancini,Switzerland,Sprinting,2011 2012,Undisclosed Norandrosterone,Public warning 2 years
Luvo Manyonga,South Africa,Long jump,2012,Methamphetamine,18 months
Irina Maracheva,Russia,Middle distance,2012,Biological passport,2 years
Pascal Maran,France,Hurdling,1997,Ephedrine,Public warning and disqualification
Natalia Mărășescu,Romania,Middle distance,1979,Anabolic steroids,8 months
Brian Mariano,Netherlands,Sprinting,2016,Stanozolol,4 years
Martin Marić,Croatia,Discus throw,2014,Ostarine ( SARMs ),2 years
Itay Margalit,Israel,High jump,1999,Nandrolone,
Marina Marghieva,Moldova,Hammer throw,2012,Stanozolol,2 years
Zalina Marghieva,Moldova,Hammer throw,2009 { Retested 2013 ),"Dehydrochloromethyltestosterone , stanozolol",2 years
Dzmitry Marshin,Azerbaijan,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years
LaVonna Martin-Floreal,United States,Hurdling,1991,Furosemide,14 months ( Reduced from 2 years )
