Year,Title,Role
1990,Miller 's Crossing,Verna Bernbaum
1991,Late for Dinner,Joy Husband
1992,Crush,Lane
1992,Used People,Norma
1994,Safe Passage,Cynthia
1996,The Spitfire Grill,Shelby Goddard
1996,The Daytrippers,Libby
1996,The First Wives Club,Dr. Leslie Rosen
1996,Spy Hard,Miss Cheevus
1996,Far Harbor,Arabella
1997,Flubber,Dr. Sara Jean Reynolds
1998,Desperate Measures,Dr. Samantha Hawkins
1998,Meet Joe Black,Allison Parrish
1998,Curtain Call,Michelle Tippet
2000,Space Cowboys,Sara Holland
2000,Pollock,Lee Krasner
2001,Gaudi Afternoon,Frankie Stevens
2003,Mystic River,Celeste Boyle
2003,Casa de los Babys,Nan
2003,Mona Lisa Smile,Nancy Abbey
