Rank,City,Passengers,Airline
1,"Mexico City , Mexico City","380,442","Aeromar , Aeroméxico , Aeroméxico Connect , Interjet , VivaAerobus , Volaris"
2,"Baja California , Tijuana","75,617",Volaris
3,"Nuevo León , Monterrey","31,065","VivaAerobus , Volaris"
4,"Jalisco , Guadalajara","27,259","TAR , Volaris"
5,"Yucatán , Mérida","16,268",Volaris
6,"Oaxaca , Huatulco","6,586","Aerotucán , Aerovega , TAR"
7,"Quintana Roo , Cancún","5,281",Interjet
8,"Querétaro , Querétaro",894,TAR
9,"México ( state ) , Toluca",45,
10,"Aguascalientes , Aguascalientes",13,
