Name,Aliases,Place of birth,Years active,Awards
Kristen Bjorn,,London,1978-,2007 Barcelona International Erotic Film Festival Heatgay Award
Nicky Crane,,Bexley,1986-1992,
Mark Davis,Steven Scott,Essex,1993-2012 2016-,AVN Hall of Fame XRCO Hall of Fame 1994 XRCO Best Anal Sex Scene 1996 AVN Best Group Sex Scene ( Video ) 1998 AVN Best Anal Sex Scene ( Video ) 2001 XRCO Best Male-Female Sex Scene 2009 AVN Award for Best Group Sex Scene
Ben Dover,Steve Perry,Sittingbourne,1992-2005,1997 AVN Breakthrough Award
Ben English,Derek Hay,England,2002-,2003 XRCO Award for New Stud 2004 AVN Award for Best Male Newcomer 2009 AVN Award for Best Supporting Actor
Keiran Lee,Adam Diksa,Derby,2006-,2007 UKAFTA for Best Male Actor 2017 AVN Fan Award for Favourite Male Porn Star
Marcus London,,London,1995-,2007 AVN Award for Best Oral Sex Scene ( Film )
Wilde Oscar,"Chris Sterling , Chris Oscar , Adam Knight","Burnham , Buckinghamshire",1995-2002,*1998 AVN Award for Best Supporting Actor ( Film ) 2001 AVN Award for Best Supporting Actor ( Video )
Aiden Shaw,Aiden Brady,England,1992-2004,
Long Dong Silver,The Italian Playboy,London,1982-1995,
