Show,Station,Premiere Date,Type,Original run
Carnation,NHK,October 3,Drama,"October 3 , 2011 - March 31 , 2012"
Double-J,Nippon TV,June 29,Anime,"June 29 , 2011 - September 14 , 2011"
Fractale,Fuji TV,January 13,Anime,"January 13 , 2011 - March 31 , 2011"
Beyblade Metal Fury,TV Tokyo,April 3,Anime,"April 3 , 2011 - April 1 , 2012"
Blue Exorcist,JNN,April 17,Anime,"April 17 , 2011 - October 2 , 2011"
Guilty Crown,Fuji TV,October 13,Anime,"October 13 , 2011 - March 22 , 2012"
Hunter × Hunter,Nippon TV,October 2nd,anime,"October 2 , 2011 - September 24 , 2014"
Infinite Stratos,TBS,January 6,Anime,"January 6 , 2011 - March 31 , 2011"
Itsuka Tenma no Kuro Usagi,TV Saitama,July 8,Anime,"July 8 , 2011 - September 24 , 2011"
Kaizoku Sentai Gokaiger,TV Asahi,February 13,Tokusatsu,"February 13 , 2011 - February 19 , 2012"
Karakuri Samurai Sesshaawan 1,TV Shizuoka,July 3,Tokusatsu,"July 3 , 2011 - October 2 , 2011"
Kaseifu no Mita,Nippon TV,October 12,Drama,"October 12 , 2011 - December 21 , 2011"
Maji de Watashi ni Koi Shinasai !,tvk,October 1,Anime,"October 1 , 2011 - December 17 , 2011"
Mawaru Penguindrum,MBS,July 7,Anime,"July 7 , 2011 - December 22 , 2011"
Mitsu no Aji : A Taste of Honey,Fuji TV,October 13,Drama,"October 13 , 2011 - December 22 , 2011"
Nazotoki wa Dinner no Ato de,Fuji TV,October 18,Drama,"October 18 , 2011 - December 20 , 2011"
Rebound,Nippon TV,April 27,Drama,"April 27 , 2011 - June 29 , 2011"
SKE48 no Magical Radio,Nippon TV,October 11,Variety show,"October 11 , 2011 - December 27 , 2011"
Tiger & Bunny,MBS,April 2,Anime,"April 2 , 2011 - September 17 , 2011"
Toriko,Fuji TV,April 3,Anime,"April 3 , 2011 - March 30 , 2014"
