Title,Director,Country,Genre,Cast,Notes
Absolutely Positive,Peter Adair,United States,Documentary,,How 11 interviewed HIV positive people live with different stages of the disease and how they are coping with their illnesses in different ways
The Adjuster,Atom Egoyan,Canada,Drama,"Elias Koteas , Arsinée Khanjian , Maury Chaykin , Gabrielle Rose , Jennifer Dale , David Hemblen , Rose Sarkisyan , Armen Kokorian , Jacqueline Samuda , Gerard Parkes , Patricia Collins , Don McKellar , John Gilbert , Stephen Ouimette and Raoul Trujillo",
Anything for Bread,Enrique Urbizu,Spain,Thriller,"María Barranco , Kiti Manver , Antonio Resines , Pepo Oliva , José Amezola , Luis Ciges , Caco Senante , Maite Blasco , Klara Badiola , Pedro Díez del Corral , Pilar Bardem , Ramón Barea and Ramón Goyanes",a.k.a . Todo por la pasta
Daddy and the Muscle Academy,Ilppo Pohjola,Finland,Documentary,,Subtitled The Life and Art of Tom of Finland
Edward II,Derek Jarman,United Kingdom,"History , drama","Steven Waddington , Tilda Swinton , Andrew Tiernan , Nigel Terry , John Lynch , Dudley Sutton , Jerome Flynn , Jody Graber and Annie Lennox",Based on the play of the same name by Christopher Marlowe
Fried Green Tomatoes,Jon Avnet,United States,"Comedy , drama","Kathy Bates , Mary Stuart Masterson , Nancy Moore Atchison , Mary-Louise Parker , Jessica Tandy , Cicely Tyson , Chris O'Donnell , Stan Shaw , Gailard Sartain , Timothy Scott , Gary Basaraba , Lois Smith , Danny Nelson , Jo Harvey Allen , Macon McCalman , Richard Riehle , Raynor Scheine , Grace Zabriskie , Reid Binion , Nick Searcy and Constance Shulman","Co-written by Fannie Flagg , based on her novel Fried Green Tomatoes at the Whistle Stop Cafe ; lesbian subtext"
High Heels,Pedro Almodóvar,Spain France,"Comedy , drama , romance","Victoria Abril , Marisa Paredes , Miguel Bosé , Féodor Atkine , Miriam Díaz Aroca , Anna Lizaran , Bibiana Fernández , Cristina Marcos , Pedro Diez del Corral , Mayrata O'Wisiedo , Nacho Martínez , Rocío Muñoz and Javier Bardem",a.k.a . Tacones lejanos
The Hours and Times,Christopher Münch,United States,Drama,"David Angus , Ian Hart , Stephanie Pack , Robin McDonald , Sergio Moreno and Unity Grimwood",Fictionalized account of what might have happened during a holiday taken by John Lennon and the Beatles ' manager Brian Epstein in 1963
Khush,Pratibha Parmar,United Kingdom,Documentary,,
Letters of Transit ( Les Sauf-conduits ),Manon Briand,"Julie Lavergne , Patrick Goyette , Luc Picard",Short drama,,
The Lost Language of Cranes,Nigel Finch,United Kingdom,Drama,"Brian Cox , Angus Macfadyen , Eileen Atkins , Corey Parker , Richard Warwick , Cathy Tyson , René Auberjonois , John Schlesinger , Ben Daniels and Nigel Whitmey",Based on the novel of the same name by David Leavitt
Madonna : Truth or Dare,Alek Keshishian,United States,Documentary,Madonna,Chronicles the entertainer 's life during her Blond Ambition World Tour the previous year
The Making of Monsters,John Greyson,Canada,Musical comedy-drama,"Christopher Anderson , Stewart Arnott and Lee MacDougall",
Meeting Two Queens,Cecilia Barriga,Chile,Romance,Various film scenes of Greta Garbo and Marlene Dietrich,"Re-editing and cutting various scenes from Hollywood films , in order to create a space for lesbian identity politics and identity formation"
My Father Is Coming,Monika Treut,Germany,"Comedy , romance","Alfred Edel , Shelley Kästner , Annie Sprinkle , Michael Massee , Mary Lou Grailau , David Bronstein , Dominique Gaspar , Flora Gasper , Fakir Musafar , Israel Marti , Mario de Colombia , Bruce Benderson , Rebecca Lewin , Stephen Feld and Charles-John Austen",
My Own Private Idaho,Gus Van Sant,United States,Drama,"River Phoenix , Keanu Reeves , James Russo , William Richert , Rodney Harvey , Chiara Caselli , Michael Parker , Jessie Thomas , Grace Zabriskie , Flea , Udo Kier , Vana O'Brien , Jim Caviezel , Brian Wilson and Wade Evans","Loosely based on the history plays Henry IV , Part 1 , Henry IV , Part 2 and Henry V by William Shakespeare"
Naked Lunch,David Cronenberg,Canada United Kingdom Japan,"Fantasy , crime , drama","Peter Weller , Judy Davis , Ian Holm , Roy Scheider , Joseph Scorsiani , Julian Sands , Monique Mercure , Michael Zelniker , Nicholas Campbell , Robert A. Silverman , John Friesen and Sean McCann",Based on the novel of the same name by William S. Burroughs
Nelligan,Robert Favreau,Canada,Drama,"Marc Saint-Pierre , Luc Morissette , Lorraine Pintal",Biopic of Émile Nelligan
No Skin Off My Ass,Bruce La Bruce,Canada,"Comedy , drama","Bruce LaBruce , G. B. Jones , Klaus von Brücker , Caroline Azar , Beverly Breckenridge , Laurel Pervis , Kate Ashley and Jena von Brücker",
North of Vortex,Constantine Giannaris,United Kingdom Greece,Drama,"Stavros Zalmas , Valda Z. Drabla , Howard Napper and Kevin Graal ( voice only )",
