Player,Recruited from,Club
Hayden Skipworth,Woodville-West Torrens,Adelaide Crows
Joel Macdonald,Mt Gravatt,Brisbane Lions
Jonathan McCormack,Murray Kangaroos,Carlton
Ben Haynes,Western Jets,Essendon
Courtney Johns,East Fremantle,Essendon
Luke Webster,East Perth,Fremantle
Daniel Gilmore,South Fremantle,Fremantle
Will Slade,Oakleigh Chargers,Geelong
Ben Kane,Eastern Ranges,Hawthorn
Brad Sewell,North Ballarat,Hawthorn
Jeremy Clayton,North Ballarat,Kangaroos
Michael Firrito,Eastern Ranges,Kangaroos
Nathan Carroll,Claremont,Melbourne
Allan Murray,Port Adelaide,St Kilda
Heath James,Port Adelaide Magpies,Sydney Swans
James Meiklejohn,NSW/ACT Rams,Sydney Swans
Zac Beeck,East Perth,West Coast Eagles
Mark Nicoski,Subiaco,West Coast Eagles
Matthew Boyd,Frankston,Western Bulldogs
