Recording or collection,Performer or agent,Year
1888 London cylinder recordings of Col. George Gouraud,George Gouraud,1888
Lift Every Voice and Sing ( Two Versions ),Manhattan Harmony Four and Melba Moore & Friends,1923 and 1990
Puttin ' On the Ritz,Harry Richman,1929
Over the Rainbow,Judy Garland,1939
I 'll Fly Away,The Chuck Wagon Gang,1948
Hound Dog,Big Mama Thornton,1952
Saxophone Colossus,Sonny Rollins,1956
New York Giants vs. Brooklyn Dodgers final game commentary,Vin Scully,"September 8 , 1957"
Gunfighter Ballads and Trail Songs,Marty Robbins,1959
The Incredible Jazz Guitar of Wes Montgomery,Wes Montgomery,1960
People,Barbra Streisand,1964
In the Midnight Hour,Wilson Pickett,1965
Amazing Grace,Judy Collins,1970
All Things Considered first episode,National Public Radio,"May 3 , 1971"
American Pie,Don McLean,November 1971
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
The Wiz Original Cast Recording,Original Broadway Cast,1975
Their Greatest Hits ( 1971-1975 ),Eagles,1976
Scott Joplin 's Treemonisha,"Gunther Schuller , arr",1976
Wanted : Live in Concert,Richard Pryor,1978
