Film,Director,Year,Also Known As
Man from Deep River,Umberto Lenzi,1972,Il paese del sesso selvaggio ( The Country of Savage Sex ) ; Deep River Savages ; The Man From Deep River ; Sacrifice !
Ultimo mondo cannibale,Ruggero Deodato,1977,Last Cannibal World ; Jungle Holocaust
Emanuelle and the Last Cannibals,Joe D'Amato,1977,Emanuelle e gli Ultimi Cannibali ; Trap Them and Kill Them
The Mountain of the Cannibal God,Sergio Martino,1978,La montagna del dio cannibale ; Slave of the Cannibal God ; Prisoner of the Cannibal God
"Papaya , Love Goddess of the Cannibals",Joe D'Amato,1978,Papaya dei Caraibi
The Primitive,Sisworo Gautama Putra,1978,Primitives ; Savage Terror
Cannibal Holocaust,Ruggero Deodato,1980,Holocausto Canibal
Eaten Alive !,Umberto Lenzi,1980,Mangiati vivi !
Zombie Holocaust,Marino Girolami,1980,"Zombi Holocaust ; Zombie 3 ; Zombi 3 ; Queen of the Cannibals ; Doctor Butcher , M.D . ( Medical Deviate )"
We 're Going to Eat You,Tsui Hark,1980,Diyu wu Men
Orgasmo Nero,Joe D'Amato,1980,Black Orgasm
Devil Hunter,Jesus Franco,1980,Il cacciatore di uomini / The Man Hunter ; Mandingo Manhunter
Mondo Cannibale,Jesus Franco,1980,Cannibal World ; The Cannibals ; Cannibals ; White Cannibal Queen ; Die Blonde Gottin ( The Blonde Goddess ) ; A Woman for the Cannibals ; Barbarian Goddess
Cannibal Terror,Alain Deruelle,1981,Terreur Caníbal ( contains stock footage from Jesus Franco 's Mondo Cannibale )
Cannibal Ferox,Umberto Lenzi,1981,Make Them Die Slowly ; Woman from Deep River
Diamonds of Kilamandjaro,Jesus Franco,1982,Treasure of the White Goddess
Cannibal Love,Joe D'Amato,1982,
White Slave,Mario Gariazzo,1984,Schiave Bianche : Violenza in Amazzonia / White Slave : Violence in Amazonia / Amazonia : The Catherine Miles Story
Cut and Run,Ruggero Deodato,1985,Inferno in diretta / Hell ... Live ! ; Amazonia
Massacre in Dinosaur Valley,Michele Massimo Tarantini,1985,Nudo e Selvaggio / Naked and Savage ; Cannibal Ferox 2
