Goal,Date,Venue,Opponent,Score,Result,Competition
1,2 September 2006,"Ta ' Qali Stadium , Ta ' Qali",Malta,4 -1,5-2,UEFA Euro 2008 qualifying
2,24 March 2007,"Ullevaal Stadion , Oslo",Norway,2 -0,2-1,UEFA Euro 2008 qualifying
3,2 June 2007,"Asim Ferhatović Hase Stadium , Sarajevo",Turkey,1 -1,3-2,UEFA Euro 2008 qualifying
4,6 June 2007,"Asim Ferhatović Hase Stadium , Sarajevo",Malta,1 -0,1-0,UEFA Euro 2008 qualifying
5,22 August 2007,"Asim Ferhatović Hase Stadium , Sarajevo",Croatia,1 -2,3-5,Friendly match
6,22 August 2007,"Asim Ferhatović Hase Stadium , Sarajevo",Croatia,2 -2,3-5,Friendly match
7,22 August 2007,"Asim Ferhatović Hase Stadium , Sarajevo",Croatia,3 -4,3-5,Friendly match
8,10 September 2008,"Bilino Polje , Zenica",Estonia,4 -0,7-0,2010 FIFA World Cup qualification
9,15 October 2008,"Bilino Polje , Zenica",Armenia,3 -0,4-1,2010 FIFA World Cup qualification
10,15 October 2008,"Bilino Polje , Zenica",Armenia,4 -1,4-1,2010 FIFA World Cup qualification
11,5 September 2009,"Hanrapetakan Stadium , Yerevan",Armenia,2 -0,2-0,2010 FIFA World Cup qualification
