Rank,Athlete,Nationality,Time
1,Ren Xiujuan,China,1:10:39
2,Lidia Simon,Romania,1:10:57
3,Aurica Buia,Romania,1:11:01
4,Nuta Olaru,Romania,1:11:07
5,Kanako Haginaga,Japan,1:11:18
6,Christine Mallo,France,1:12:24
7,Firiya Sultanova,Russia,1:12:34
8,Heather Turland,Australia,1:12:46
9,Zahia Dahmani,France,1:12:47
10,Lucilla Andreucci,Italy,1:12:50
11,Cristina Pomacu,Romania,1:13:05
12,Zola Pieterse,South Africa,1:13:19
13,Getenesh Urge,Ethiopia,1:13:22
14,Martha Ernstdóttir,Iceland,1:13:27
15,Muriel Linsolas,France,1:13:33
16,Annalisa Scurti,Italy,1:13:41
17,Mayumi Ichikawa,Japan,1:13:42
18,Alla Zhilyayeva,Russia,1:13:47
19,Dorota Gruca-Giezek,Poland,1:14:07
20,Nina Korvryzkina,Ukraine,1:14:28
