Date,Co-Hosts,Guests/Segments
April 1,Regis Philbin & Kelly Ripa,"Michael J . Fox , Cloris Leachman , Diana Krall and Are You Kidding Me ? Whiz Kid Challenge"
April 2,Regis Philbin & Kelly Ripa,"Marg Helgenberger , Dancing with the Stars and Are You Kidding Me ? Whiz Kid Challenge"
April 3,Kelly Ripa & Nick Lachey,"Vin Diesel , Prom dresses and Are You Kidding Me ? Whiz Kid Challenge"
April 6,Regis Philbin & Kelly Ripa,"LIVE ! in New Orleans , Emeril Lagasse , Chris Paul , 9th American Idol Finalist and The Rebirth Brass Band"
April 7,Regis Philbin & Kelly Ripa,"LIVE ! in New Orleans , Faith Ford , Reggie Bush , Jesse McCartney and The Storyville Stompers"
April 8,Regis Philbin & Kelly Ripa,"LIVE ! in New Orleans , Billy Ray Cyrus , Harry Hamlin and Big Sam 's Funky Nation"
April 9,Regis Philbin & Kelly Ripa,"LIVE ! in New Orleans , Miley Cyrus , Faith Ford and Rockin ' Dopsie Jr. & The Zydeco Twisters"
April 10,Regis Philbin & Kelly Ripa,"Diane Sawyer , Chelsea Handler , Brenda Song , Annie Lennox"
April 13,Regis Philbin & Kelly Ripa,"Nancy O'Dell , 8th American Idol Finalist , and New York Auto Show Week"
April 14,Regis Philbin & Kelly Ripa,Kathie Lee Gifford and New York Auto Show Week
April 15,Kelly Ripa & Mark Consuelos,Russell Crowe and New York Auto Show Week
April 16,Regis Philbin & Joy Philbin,Ben Affleck and New York Auto Show Week
April 17,Kelly Ripa & Mark Consuelos,Drew Barrymore and New York Auto Show Week
April 20,Regis Philbin & Kelly Ripa,"Chevy Chase , Daniel Dae Kim , and Green Week"
April 21,Regis Philbin & Kelly Ripa,"Jimmy Fallon , Neil Sedaka , and Green Week"
April 22,Regis Philbin & Kelly Ripa,"Jennifer Lopez , Brooke Shields , Cirque du Soleil , and Green Week"
April 23,Regis Philbin & Kelly Ripa,"Amy Poehler , Roselyn Sánchez , and Green Week"
April 24,Kelly Ripa & Neil Patrick Harris,"Jamie Foxx , Ali Larter , and Green Week"
April 27,Regis Philbin & Kelly Ripa,"Allison Janney , 7th American Idol Finalist , 6th American Idol Finalist , and Broadway Week"
April 28,Regis Philbin & Kelly Ripa,"Matthew Fox , Jill Hennessy , and Broadway Week"
