Rank,City,State,Korean-Americans,Percentage
1,Fullerton,California,"15,544",11.5%
2,Torrance,California,"10,857",7.8%
3,Irvine,California,"13,130",6.6%
4,Glendale,California,"10,723",5.5%
5,Santa Clara,California,"3,494",3.0%
6,Bellevue,Washington,"3,459",2.9%
7,Ann Arbor,Michigan,"2,885",2.5%
8,Killeen,Texas,"1,869",2.15%
9,Berkeley,California,"2,036",2.0%
10,Cambridge,Massachusetts,"1,699",1.6%
11,Fremont,California,"2,968",1.5%
12,Tacoma,Washington,"2,416",1.4%
13,Carrollton,Texas,"1,428",1.3%
14,Santa Clarita,California,"1,854",1.1%
15,Huntington Beach,California,"1,895",1.0%
