P,Name,Age,Moving from,Type,Ends
MF,Madson,22,Vasco,Signed,2011
MF,Lúcio Flávio,29,Botafogo,Signed,2010
DF,Triguinho,29,São Caetano,Loaned,2009
MF,Germano,27,Cerezo Osaka,Signed,2010
DF,Luizinho,26,Cruzeiro,Loaned,2009
FW,Roni,31,Gamba Osaka,Signed,2009
FW,Luis Bolaños,23,LDU,Signed,2011
DF,Paulo Henrique Rodrigues,25,Atlético-GO,Loaned,2009
DF,André Astorga,29,Cluj,Signed,2009
DF,Léo,33,Benfica,Signed,2010
DF,Rafael Caldeira,18,Marília,Signed,?
MF,Alan Santos,18,Vitória,Signed,2012
MF,Felipe Azevedo,22,Paulista,Loaned,2009
DF,Eli Sabiá,21,Paulista,Loaned,2009
GK,Felipe,21,Portuguesa Santista,Loan return,2012
DF,Wagner Diniz,25,São Paulo,Loaned,2009
MF,Rodrigo Mancha,23,Coritiba,Signed,2012
MF,Emerson,33,Milan,Signed,2009
DF,George Lucas,25,Celta de Vigo,Signed,2010
GK,Sérgio,39,Itumbiara,Signed,2009
