Series,Housemate,Age,Hometown,Status
1,Ben ( Benjamin ) Williams,21,"Epping , Victoria",1st - Winner
1,Blair McDonough,19,Melbourne,2nd - Runner-up
1,Sara-Marie Fedele,22,"Perth , Western Australia",3rd - Third place
1,Christina Davis,27,Sydney,4th - Evicted
1,Jemma Gawned,26,Melbourne,5th - Evicted
1,Johnnie ( John ) Cass,30,Sydney,6th - Evicted
1,Anita Bloomfield,22,Sydney,7th - Evicted
1,Peter Timbs,28,Sydney,8th - Evicted
1,Lisa Standing,24,Melbourne,9th - Evicted
1,Rachel Corbett,20,,10th - Evicted
1,Gordon Sloan,28,Melbourne,11th - Evicted
1,Todd James,27,Melbourne,12th - Evicted
1,Sharna West,34,Melbourne,13th - Evicted
1,Andy ( Andrea ) Silva,25,Sydney,14th - Evicted
2,Peter Corbett,23,"Wollongong , New South Wales",1st - Winner
2,Marty ( Nathan ) Martin,20,"Toodyay , Western Australia",2nd - Runner-up
2,Sahra Kearney,23,,3rd - Third place
2,Jess ( Jessica ) Hardy,24,"Tweed Heads , New South Wales",4th - Evicted
2,Kieran Tanner,24,Sydney,5th - Evicted
2,Mirabai Peart,21,,6th - Evicted
