Rank,Athlete,Nationality,Time,Notes
1,Paul Koech,Kenya,1:00:01,PB
2,Hendrick Ramaala,South Africa,1:00:24,
3,Khalid Skah,Morocco,1:00:24,PB
4,Ibrahim Seid,Ethiopia,1:00:31,PB
5,Gert Thys,South Africa,1:00:37,
6,Antonio Silio,Argentina,1:00:45,NR
7,Luís Jesús,Portugal,1:01:10,
8,Tendai Chimusasa,Zimbabwe,1:01:14,
9,Abner Chipu,South Africa,1:01:20,
10,Shem Kororia,Kenya,1:01:30,
11,John Gwako,Kenya,1:01:36,
12,Ronaldo da Costa,Brazil,1:01:40,
13,Joseph Kibor,Kenya,1:01:42,
14,Bartolomé Serrano,Spain,1:01:43,PB
15,Martín Fiz,Spain,1:01:47,
16,Luís Novo,Portugal,1:01:50,PB
17,Carsten Jørgensen,Denmark,1:01:55,PB
18,Javier Cortés,Spain,1:02:02,PB
19,Alemayehu Girma,Ethiopia,1:02:07,PB
20,Janko Benša,FR Yugoslavia,1:02:11,PB
