Metropolitan municipality,Mayor,Party
Adana,Aytaç Durak,Motherland Party ( ANAP )
Ankara,Melih Gökçek,Welfare Party ( RP )
Antalya,Hasan Subaşı,True Path Party ( DYP )
Bursa,Erdem Saker,Motherland Party ( ANAP )
Diyarbakır,Ahmet Bilgin,Welfare Party ( RP )
Erzurum,Ersan Gemalmaz,Welfare Party ( RP )
Eskişehir,Aydın Arat,True Path Party ( DYP )
Gaziantep,Celal Doğan,Social Democratic Populist Party ( SHP )
İstanbul,Recep Tayyip Erdoğan,Welfare Party ( RP )
İzmir,Burhan Özfatura,True Path Party ( DYP )
Kayseri,Şükrü Karatepe,Welfare Party ( RP )
Kocaeli,Sefa Sirmen,Social Democratic Populist Party ( SHP )
Konya,Halil Ürün,Welfare Party ( RP )
Mersin,Okan Merzeci,Motherland Party ( ANAP )
Samsun,Muzaffer Önder,Republican People 's Party ( CHP )
