Title,Original run,Network
Fireside Theatre,1949-1958,NBC
Cameo Theatre,1950-1955,NBC
Big Town,1950-1956,"CBS , NBC"
Victory at Sea,1952-1953,NBC
The Loretta Young Show,1953-1961,NBC
Inner Sanctum,1954-1955,NBC
People are Funny,1954-1960,NBC
The Great Gildersleeve,1955-1956,NBC
The Real McCoys,1957-1963,"ABC , CBS"
Continental Classroom,1958-1963,NBC
Concentration,1958-1973,NBC
Fibber McGee and Molly,1959-1960,NBC
Bonanza,1959-1973,NBC
The Tab Hunter Show,1960-1961,NBC
The Americans,1961,NBC
"Car 54 , Where Are You ?",1961-1963,NBC
The Funny Manns,1961-1963,"NBC , Syndication"
Temple Houston,1963-1964,NBC
Kentucky Jones,1964-1965,NBC
I Spy,1965-1968,NBC
