Date,Away,Home
August 30,# 1 Florida State 37,Oklahoma State 31
September 13,Tennessee 10,# 4 Oklahoma 34
September 20,# 22 Clemson 17,# 1 Florida State 23 ( OT )
September 27,# 8 Notre Dame 31,Syracuse 15
October 4,# 19 Nebraska 22,# 10 Michigan State 27
October 18,# 5 Notre Dame 27,# 2 Florida State 31
October 25,# 13 Ohio State 31,Penn State 24 ( 2OT )
November 1,Illinois 14,# 16 Ohio State 55
November 1,Oklahoma State 14,# 9 Kansas State 48
November 8,# 14 Ohio State 49,# 8 Michigan State 37
November 15,# 3 Florida State 30,Miami 26
November 22,USC 20,# 9 UCLA 38
November 29,# 2 Oregon 47,Oregon State 19
December 6,# 4 Florida State 37,# 11 Georgia Tech 35
