Date,Name,Moving from,Moving to,Fee
"August 1 , 2012",Vicente Arze,Diósgyőri,Charleroi,Undisclosed
"August 1 , 2012",Mynor Escoe,Deportivo Saprissa,Charleroi,Loan
"August 1 , 2012",Kristof Van Hout,Kortrijk,Genk,Undisclosed
"August 2 , 2012",Abdelfettah Boukhriss,Standard Liège,Raja Casablanca,Undisclosed
"August 3 , 2012",Rémi Pillot,Nancy,Kortrijk,Free
"August 3 , 2012",Vito Plut,Gorica,Waasland-Beveren,Undisclosed
"August 5 , 2012",Sepp De Roover,Lokeren,NAC,Loan
"August 6 , 2012",Francis N'Ganga,Tours,Charleroi,Free
"August 7 , 2012",Pau Cendrós López,Mallorca,Gent,Undisclosed
"August 8 , 2012",Nicky Hayen,OH Leuven,Antwerp,Loan
"August 8 , 2012",Kevin Roelandts,OH Leuven,Antwerp,Loan
"August 8 , 2012",Jorn Vermeulen,OH Leuven,Antwerp,Loan
"August 9 , 2012",Axel Bonemme,Standard Liège,Sint-Truiden,Loan
"August 9 , 2012",Steven Cohen,Beitar Jerusalem,Waasland-Beveren,Undisclosed
"August 9 , 2012",Baye Djiby Fall,Lokeren,Greuther Fürth,Undisclosed
"August 9 , 2012",Christian Pouga,Marítimo,OH Leuven,Undisclosed
"August 10 , 2012",Flavien Le Postollec,Eupen,Mons,Free
"August 11 , 2012",Stéphane Coqu,Charleroi,Brussels,Free
"August 11 , 2012",Joeri Dequevy,Lierse,Sint-Truiden,Undisclosed
"August 13 , 2012",Mikhail Sivakov,Zulte Waregem,BATE Borisov,Loan
