Season,Team,Record,Playoffs result
1946-47,Chicago Stags,39-22 ( .639 ),Lost BAA Finals 1-4
1947-48,Baltimore Bullets,28-20 ( .583 ),Won BAA Finals 4-2
1948-49,Minneapolis Lakers,44-16 ( .733 ),Won BAA Finals 4-2
1949-50,Anderson Packers,37-27 ( .578 ),Lost NBA Semifinals 0-2
1950-51,Rochester Royals,41-27 ( .603 ),Won NBA Finals 4-3
1951-52,Minneapolis Lakers,40-26 ( .606 ),Won NBA Finals 4-3
1952-53,Minneapolis Lakers,48-22 ( .686 ),Won NBA Finals 4-1
1953-54,Minneapolis Lakers,46-26 ( .639 ),Won NBA Finals 4-3
1954-55,Fort Wayne Pistons,43-29 ( .597 ),Lost NBA Finals 3-4
1955-56,Fort Wayne Pistons,37-35 ( .514 ),Lost NBA Finals 1-4
1956-57,St. Louis Hawks,34-38,Lost NBA Finals 3-4
1957-58,St. Louis Hawks,41-31,Won NBA Finals 4-2
1958-59,Minneapolis Lakers,49-23,Lost NBA Finals 0-4
1959-60,St. Louis Hawks,41-31,Lost NBA Finals 3-4
1960-61,St. Louis Hawks,51-28,Lost NBA Finals 1-4
1961-62,Los Angeles Lakers,54-26,Lost NBA Finals 3-4
1962-63,Los Angeles Lakers,53-27,Lost NBA Finals 2-4
1963-64,San Francisco Warriors,48-32,Lost NBA Finals 1-4
1964-65,Los Angeles Lakers,49-31,Lost NBA Finals 1-4
1965-66,Los Angeles Lakers,45-35,Lost NBA Finals 3-4
