Club,City,Stadium,Manager
Bucheon FC 1995,Bucheon,Bucheon Stadium,Gwak Kyung-keun
Cheonan FC,Cheonan,Cheonan Football Center,Park Yoon-ki
Cheongju Jikji FC,Cheongju,Cheongju Stadium,Kim Jong-hyun
Chuncheon FC,Chuncheon,Chuncheon Stadium,Ham Cheol-kwon
Goyang Citizen,Goyang,Goyang Eoulimnuri ground,Kim Jin-ok
Gwangju Gwangsan FC,Gwangju,Honam University ground,Hwang Young-woo
Gyeongju Citizen,Gyeongju,Gyeongju Civic Stadium,Kim Jin-hyung
Icheon Citizen,Icheon,Icheon City Stadium,Lee Hyun-chang
Jeonju EM,Jeonju,Jeonju University ground,Oh In-eui
Jungnang Chorus Mustang,Seoul,Jungnang Public Ground,Kim Sang-hwa
Namyangju United,Namyangju,Namyangju Stadium,Lee Jong-woon
Paju Citizen,Paju,Paju Stadium,Cho Deok-jeung
FC Pocheon,Pocheon,Pocheon Stadium,Lee Su-sik
Seoul FC Martyrs,Seoul,Gangbuk Stadium,Yoo Bong-ki
Seoul United,Seoul,Madeul Stadium,Bae Hyung-ryul
Yangju Citizen,Yangju,Yangju Stadium,Kim Jong-boo
Yeonggwang FC,Yeonggwang,Yeonggwang Sportium,Kim Han-bong
Yesan Citizen,Yesan,Yesan Stadium,Choi Jong-duk
