Title,Genre,Premiere,Length
Trailer Park Boys : Swearnet Live,Mockumentary,"October 1 , 2014","1 hour , 15 min"
Trailer Park Boys : Live at the North Pole,Mockumentary,"November 15 , 2014","1 hour , 28 min"
BoJack Horseman Christmas Special : Sabrina 's Christmas Wish,Animation,"December 19 , 2014",25 min
Sense8 : Creating the World,Making-of,"August 8 , 2015",25 min
"Trailer Park Boys : Drunk , High And Unemployed Live In Austin",Mockumentary,"December 9 , 2015","1 hour , 15 min"
Marco Polo : One Hundred Eyes,Period drama,"December 26 , 2015",28 min
Puss in Book : Trapped in an Epic Tale,Animation / Interactive fiction,"June 20 , 2017",23 min
Buddy Thunderstruck : The Maybe Pile,Animation / Interactive fiction,"July 14 , 2017",13 min
Beat Bugs : All Together Now,Animation,"November 21 , 2017",50 min
DreamWorks Home : For the Holidays,Animation,"December 1 , 2017",45 min
A StoryBots Christmas,Animation,"December 1 , 2017",25 min
Stretch Armstrong : The Breakout,Animation / Interactive fiction,"March 13 , 2018",45 min
Super Monsters Save Halloween,Animation,"October 5 , 2018",23 min
"Club de Cuervos Presents : I , Potro",Mockumentary,"October 19 , 2018",50 min
Free Rein : The Twelve Neighs of Christmas,Teen drama,"December 7 , 2018",57 min
Super Monsters and the Wish Star,Animation,"December 7 , 2018",27 min
Prince of Peoria : A Christmas Moose Miracle,Sitcom,"December 17 , 2018",29 min
Aggretsuko : We Wish You a Metal Christmas,Anime,"December 20 , 2018",22 min
Black Mirror : Bandersnatch,Science fiction / drama / Interactive,"December 28 , 2018","1 hour , 30 min"
Free Rein : Valentine 's Day,Teen drama,"February 1 , 2019",50 min
