Name,Location,Sponsor,Notes
American Airlines Theatre,New York City,American Airlines,Selwyn Theatre ( 1918-2000 )
Bank of America Pavilion,Boston,Bank of America,Harbor Lights Pavilion ( 1994-1999 ) ; FleetBoston Pavilion ( 1999-2004 )
Cadillac Palace Theatre,Chicago,General Motors ( Cadillac brand ),New Palace Theatre ( 1926-1984 ) ; Bismarck Theatre ( 1984-1999 )
Citi Performing Arts Center,Boston,Citigroup,formerly the Wang Center for the Performing Arts
Cobb Energy Performing Arts Centre,"Cobb County , Georgia",Cobb Energy Management Corp,
Cricket Wireless Pavilion,"Phoenix , Arizona",Cricket Communications,formerly Desert Sky Pavilion
Dolby Theatre,"Hollywood , Los Angeles",Dolby Laboratories,Kodak Theatre ( 2001-2012 )
DTE Energy Music Theatre,"Clarkston , Michigan",DTE Energy,Pine Knob Music Theatre ( 1972-2001 )
Ferguson Center for the Arts,"Newport News , Virginia",Ferguson Enterprises,
First Interstate Center for the Arts,"Spokane , Washington",First Interstate BancSystem,Washington State Pavilion Opera House ( 1974 ) ; Spokane Opera House ( 1974-2006 ) ; INB Performing Arts Center ( 2006-2018 )
FirstMerit Bank Pavilion,Chicago,FirstMerit Corporation,Charter One Pavilion ( 2005-13 )
Hollywood Casino Amphitheatre,"Tinley Park , Illinois",Penn National Gaming,"formerly Tweeter Center Chicago , World Music Theater , New World Music Theater and First Midwest Bank Amphitheatre"
National City Pavilion,Cincinnati,National City Bank,
PNC Bank Arts Center,"Holmdel Township , New Jersey",PNC Bank,Garden State Arts Center ( 1968-1996 )
PlayStation Theater,New York City,Sony Interactive Entertainment,Nokia Theatre Times Square ( 2005-10 ) ; Best Buy Theater ( 2010-15 )
Post-Gazette Pavilion,"Burgettstown , Pennsylvania",Pittsburgh Post-Gazette,formerly Coca-Cola Star Lake Amphitheater
PrivateBank Theatre,Chicago,PrivateBank,Majestic Theatre ( 1906-1945 ) ; Sam Shubert Theatre ( 1945-2005 ) ; LaSalle Bank Theatre ( 2005- ? ) ; Bank of America Theatre ( ? -2016 )
Progress Energy Center for the Performing Arts,"Raleigh , North Carolina",Progress Energy,BTI Center for the Performing Arts ( 1997-2005 )
Raising Cane 's River Center,"Baton Rouge , Louisiana",Raising Cane 's Chicken Fingers,Riverside Centroplex ( 1977-2004 ) ; Baton Rouge River Center ( 2004-2016 )
Sleep Train Amphitheatre,"Chula Vista , California",Sleep Train,Coors Amphitheatre ( 1998-2008 ) ; Cricket Wireless Amphitheater ( 2008-2013 )
