School name,Address,Community
Bellarmine-Jefferson High School,465 East Olive Ave,Burbank
Bishop Alemany High School,11111 North Alemany Drive,Mission Hills
Chaminade High School,7500 Chaminade Ave,West Hills
Crespi Carmelite High School,5031 Alonzo Ave,Encino
Flintridge-Sacred Heart Academy,440 Saint Katherine Drive,La Cañada Flintridge
Holy Family High School,400 East Lomita Ave,Glendale
Louisville High School,22300 Mulholland Dr,Woodland Hills
Notre Dame High School,13645 Riverside Drive,Sherman Oaks
Paraclete High School,42145 30th St. West,Lancaster
"Providence High School ( Burbank , California )",511 South Buena Vista Street,Burbank
St. Francis High School,200 North Foothill Boulevard,La Cañada Flintridge
St. Genevieve High School,13967 Roscoe Blvd,Panorama City
