Character / Team,Year Debuted,Company,Creator/s,First Appearance
Crimesmith,1990,DC,Marv Wolfman,Batman # 443
NKVDemon,1990,DC,"Marv Wolfman , Jim Aparo",Batman # 445
Blackout # 2,1990 ( June ),Marvel,Howard Mackie,Ghost Rider # 2
Hank Henshaw,1990,DC,Dan Jurgens,Adventures of Superman # 466
Yuga Khan,1990,DC,,"New Gods Vol.2 , # 17"
"Blaze , Satanus",Blaze : 1990 ; Satanus : 1992,DC,"Blaze : Roger Stern , Bob McLeod ; Satanus : Jerry Ordway , Tom Grummett",Blaze : Action Comics # 655 ; Satanus : Adventures of Superman # 493
Deadpool,1991,Marvel,"Rob Liefeld , Fabian Nicieza",The New Mutants # 98
Lynx,1991,DC,"Chuck Dixon , Tom Lyle",Robin Vol.1
Bloody Mary,1991,DC,,Hawk and Dove Vol.2 # 21
Malice Vundabar,1991,DC,,Hawk and Dove Vol.2 # 21
Chessure,1991,DC,,Hawk and Dove Vol.2 # 21
Speed Queen,1991,DC,"Karl Kesel , Barbara Kesel",Hawk and Dove Vol.2 # 21
King Snake,1991,DC,"Chuck Dixon , Tom Lyle",Robin # 2
Abattoir,1991,DC,,Detective Comics # 625
Superia,1991,Marvel,"Mark Gruenwald , Rik Levins",Captain America # 390
Evil Ernie,1991,Eternity,"Brain Pulido , Steven Hughes",Evil Ernie # 1
Lady Death,1991,Eternity,Brian Pulido,Evil Ernie # 1
Fabian Cortez,1991,Marvel,"Chris Claremont , Jim Lee",X-Men Vol.2 # 1
Acolytes,1991,Marvel,"Chris Claremont , Jim Lee",X-Men Vol.2 # 1
Carnage,1992,Marvel,"David Michelinie , Mark Bagley",The Amazing Spider-Man # 360
