No,Name,Nationality,Team,Age,Position
1,Ryder Hesjedal,Canada,Garmin-Sharp,32,DNS-13
2,Tom Danielson,United States,Garmin-Sharp,35,49
3,Thomas Dekker,Netherlands,Garmin-Sharp,28,136
4,Nathan Haas †,Australia,Garmin-Sharp,24,DNF-16
5,Ramūnas Navardauskas †,Lithuania,Garmin-Sharp,25,87
6,Robert Hunter,South Africa,Garmin-Sharp,37,141
7,David Millar,Great Britain,Garmin-Sharp,36,DNF-14
8,Peter Stetina,United States,Garmin-Sharp,25,52
9,Christian Vande Velde,United States,Garmin-Sharp,36,110
11,Domenico Pozzovivo,Italy,Ag2r-La Mondiale,30,10
12,Davide Appollonio †,Italy,Ag2r-La Mondiale,23,168
13,Manuel Belletti,Italy,Ag2r-La Mondiale,27,144
14,Julien Bérard,France,Ag2r-La Mondiale,25,DNS-8
15,Carlos Betancur †,Colombia,Ag2r-La Mondiale,23,5
16,Guillaume Bonnafond,France,Ag2r-La Mondiale,25,107
17,Hubert Dupont,France,Ag2r-La Mondiale,32,32
18,Ben Gastauer,Luxembourg,Ag2r-La Mondiale,25,51
19,Sylvain Georges,France,Ag2r-La Mondiale,29,DNS-11
21,Franco Pellizotti,Italy,Androni Giocattoli-Venezuela,35,11
22,Giairo Ermeti,Italy,Androni Giocattoli-Venezuela,32,151
