Player,Pos,Nationality,School / club team
Melvin Booker,PG,United States,Missouri ( Sr . )
Jimmy Carruth,PF,United States,Virginia Tech ( Sr . )
Robert Churchwell,SG,United States,Georgetown ( Sr . )
Askia Jones,SG,United States,Kansas State ( Sr . )
Ryan Lorthridge,SG,United States,Jackson State ( Sr . )
Ivano Newbill,F,United States,Georgia Tech ( Sr . )
Derrick Phelps,PG,United States,North Carolina ( Sr . )
Trevor Ruffin,PG,United States,Hawaii ( Sr . )
Kevin Salvadori,C,United States,North Carolina ( Sr . )
Aaron Swinson,SF,United States,Auburn ( Sr . )
Logan Vander Velden,SF,United States,Green Bay ( Sr . )
Fred Vinson,SG,United States,Georgia Tech ( Sr . )
