Club,Winners,Runners-up,Winning Years
Shamrock Rovers,25,9,"1924-1925 , 1928-29 , 1929-30 , 1930-31 , 1931-32 , 1932-33 , 1935-36 , 1939-1940 , 1943-1944 , 1944-1945 , 1947-48 , 1954-1955 , 1955-1956 , 1961-62 , 1963-1964 , 1964-1965 , 1965-1966 , 1966-1967 , 1967-1968 , 1968-1969 , 1977-1978 , 1984-1985 , 1985-1986 , 1986-87 , 2019"
Dundalk,11,8,"1941-1942 , 1948-1949 , 1951-1952 , 1957-1958 , 1976-1977 , 1978-1979 , 1980-1981 , 1987-1988 , 2001-2002 , 2015 , 2018"
Shelbourne,7,11,"1938-1939 , 1959-1960 , 1962-1963 , 1992-1993 , 1995-1996 , 1996-1997 , 1999-2000"
Bohemians,7,7,"1927-28 , 1934-35 , 1969-1970 , 1975-1976 , 1991-1992 , 2000-2001 , 2008"
Sligo Rovers,5,6,"1982-1983 , 1993-1994 , 2010 , 2011 , 2013"
Derry City,5,5,"1988-1989 , 1994-1995 , 2002 , 2006 , 2012"
Drumcondra,5,4,"1926-1927 , 1942-1943 , 1945-1946 , 1953-1954 , 1956-1957"
Cork City,4,5,"1997-1998 , 2007 , 2016 , 2017"
St. Patrick 's Athletic,3,8,"1958-1959 , 1960-1961 , 2014"
Waterford,2,7,"1936-37 , 1979-1980"
Cork Athletic,2,3,"1950-1951 , 1952-1953"
Limerick,2,3,"1970-71 , 1981-82"
Cork/Fordsons,2,2,"1925-26 , 1933-1934"
Cork Hibernians,2,2,"1971-1972 , 1972-1973"
Cork United,2,2,"1940-1941 , 1946-1947"
Longford Town,2,2,"2003 , 2004"
St. James 's Gate,2,2,"1921-22 , 1937-1938"
Bray Wanderers,2,-,"1989-1990 , 1998-1999"
Drogheda United,1,3,2005
Finn Harps,1,1,1973-1974
