Name,City,Industry,Parent,Fortune 1000 rank ( 2014 )
Acme Markets,"Malvern , PA",retail,Albertsons,94
Boeing Rotorcraft,"Ridley Township , PA",aviation,Boeing,30
Centocor,"Malvern , PA",pharmaceuticals,Johnson & Johnson,39
Colonial Penn,"Philadelphia , PA",insurance,Conseco,
Delmarva Power,"Wilmington , DE",energy,Exelon,561
Economy.com,"West Chester , PA",economic research,Moody 's Analytics,
GSI Commerce,"King of Prussia , PA",retail,eBay,
Happy Harry 's,"Newark , DE",retail,Walgreens,
Harrah 's Philadelphia,"Chester , PA",entertainment,Caesars Entertainment,
Janney Montgomery Scott,"Philadelphia , PA",investment,Penn Mutual,
Genuardi 's,"Norristown , PA",retail,Safeway,
Keystone Helicopter,"Coatesville , PA",aviation,United Technologies,45
M.A.B . Paints,"Broomall , PA",paint,Sherwin-Williams,278
MBNA,"Wilmington , DE",financial,Bank of America,21
McNeil Laboratories,"Fort Washington , PA",pharmaceuticals,Johnson & Johnson,36
Neoware,"King of Prussia , PA",electronics,Hewlett-Packard,17
NextGen Healthcare Information Systems,"Horsham , PA",software,Quality Systems,
PECO Energy,"Philadelphia , PA",energy,Exelon,119
QVC,"West Chester , PA",retail,Liberty Media,607
Rohm and Haas,"Philadelphia , PA",chemicals,Dow Chemical,48
