Region,Rnd,Host,Venue,City,State
East,1,Providence College,Alumni Hall ( Providence ),Providence,Rhode Island
East,1,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
East,1,James Madison University,James Madison University Convocation Center,Harrisonburg,Virginia
East,1,University of Richmond,Robins Center,Richmond,Virginia
East,2,Clemson University,Littlejohn Coliseum,Clemson,South Carolina
East,2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
East,2,Pennsylvania State University,Recreation Building ( Rec Hall ),University Park,Pennsylvania
East,2,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
Mideast,1,Florida State University,Tully Gymnasium,Tallahassee,Florida
Mideast,1,Vanderbilt University,Memorial Gymnasium ( Vanderbilt University ),Nashville,Tennessee
Mideast,1,Southwest Missouri State University,Hammons Student Center,Springfield,Missouri
Mideast,1,Holy Cross,Hart Center,Worcester,Massachusetts
Mideast,2,Purdue University,Mackey Arena,West Lafayette,Indiana
Mideast,2,Western Kentucky University,E.A . Diddle Arena,Bowling Green,Kentucky
Mideast,2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,2,Auburn University,Memorial Coliseum ( Beard-Eaves-Memorial Coliseum ),Auburn,Alabama
Midwest,1,Northwestern University,Welsh-Ryan Arena,Evanston,Illinois
Midwest,1,Oklahoma State University,Gallagher-Iba Arena,Stillwater,Oklahoma
Midwest,1,Stephen F. Austin University,William R. Johnson Coliseum,Nacogdoches,Texas
Midwest,1,University of Texas,Frank Erwin Center,Austin,Texas
