Date,Co-Hosts,Guests/Segments
January 8,Regis Philbin & Kelly Ripa,"Donald Trump , Bill O'Reilly"
January 9,Regis Philbin & Kelly Ripa,"Patricia Heaton , Corbin Bleu , Allen Carr"
January 10,Regis Philbin & Kelly Ripa,"Renée Zellweger , Joan & Melissa Rivers , Andrew Weil"
January 11,Regis Philbin & Kelly Ripa,"America Ferrera , Madonna , Dr. Robi Ludwig"
January 12,Regis Philbin & Kelly Ripa,"Kiefer Sutherland , Jill Hennessy"
January 15,Regis Philbin & Kelly Ripa,"Paula Abdul , Jimmy Fallon"
January 16,Regis Philbin & Kelly Ripa,"Diana Ross , Rupert Everett , Jamie Oliver"
January 17,Regis Philbin & Kelly Ripa,"Sophia Bush , Jerry Rice"
January 18,Regis Philbin & Kelly Ripa,"Tony Danza , Tony Shalhoub , Todd English"
January 19,Kelly Ripa & Emeril Lagasse,Ali Larter
January 22,Regis Philbin & Kelly Ripa,"Carmen Electra , Robert Knepper"
January 23,Regis Philbin & Kelly Ripa,"Jeremy Piven , Paul , Sr. , Paul , Jr. & Michael Teutul"
January 24,Regis Philbin & Kelly Ripa,"Jennifer Garner , Ryan Reynolds"
January 25,Regis Philbin & Kelly Ripa,Edward Norton
January 26,Kelly Ripa & Mark Consuelos,"Julianne Moore , Mandy Moore"
January 29,Regis Philbin & Kelly Ripa,Sheryl Crow
January 30,Regis Philbin & Kelly Ripa,"Brad Garrett , Guy Pearce"
January 31,Kelly Ripa & Pat Sajak,"Dylan McDermott , Miss America 2007"
