Season,Player,Time ( seconds )
1992,Sergei Fedorov,14.363
1993,Mike Gartner,13.510
1994,Sergei Fedorov,13.525
1996,Mike Gartner,13.386
1997,Peter Bondra,13.610
1998,Scott Niedermayer,13.560
1999,Peter Bondra,14.640
2000,Sami Kapanen,13.649
2001,Bill Guerin,13.690
2002,Sami Kapanen,14.039
2003,Marian Gaborik,13.713
2004,Scott Niedermayer,13.783
2007,Andy McDonald,14.03
2008,Shawn Horcoff,14.395
2009,Andrew Cogliano,14.31
2011,Michael Grabner,14.238
2012,Carl Hagelin *,13.218
2015,Jonathan Drouin *,13.103
2016,Dylan Larkin,13.172
2017,Connor McDavid,13.31
