Company,City,State/Province,Country
J. G. Brill Company,Philadelphia,Pennsylvania,United States
Canadian Car and Foundry,Montreal,Quebec,Canada
Carminati & Toselli,Milan,Milan,Italy
Cincinnati Car Company,Cincinnati,Ohio,United States
G. C. Kuhlman Car Company,Cleveland,Ohio,United States
Officine Elettroferroviarie Tallero,Milan,Milan,Italy
Officine Ferroviarie Moncenisio,Condove,Turin,Italy
Officine Ferroviarie Meridionali del Vasto,Vasto,Chieti,Italy
Ottawa Car Company,Ottawa,Ontario,Canada
Petersburg Tram Mechanical Factory ( PTMF ),Leningrad,Russian SFSR,Soviet Union
Preston Car Company,Preston,Ontario,Canada
St. Louis Car Company,St. Louis,Missouri,United States
