Year,Title,Role,Notes
1997,Eek ! The Cat,Himself,Episode : The FugEektive
"2003 , 2008",The Simpsons,Himself,"Eps . Three Gays of the Condo , That 90 's Show"
2003,Lilo & Stitch : The Series,Singing Minstrel,Episode : Tank : Experiment 586
2003-05,The Grim Adventures of Billy & Mandy,The Squid Hat,Episodes : Toadblatt 's School of Scorcery/Educating Grim/It 's Hokey Mon ! Nigel Planter and the Chamber Pot of Secrets/Circus of Fear One Crazy Summoner/Guess What 's Coming to the Dinner
2004,Johnny Bravo,Himself,Episode : Johnny Makeover
2006,Robot Chicken,Himself / Kevin,Episode : The Munnery
"2008 , 2009",Transformers Animated,Wreck-Gar,"Garbage In , Garbage Out Human Error : Part II"
2010,Back at the Barnyard,Himself,Episode : Get Bessy/A Beautiful Freddy
2010,Yo Gabba Gabba !,The Ringmaster,Episode : Circus
2011,Batman : The Brave and the Bold,Mr. Star / Himself,Episode : Bat-Mite Presents : Batman 's Strangest Cases !
2011-16,Adventure Time,Banana Man,The New Frontier We Fixed a Truck President Porpoise Is Missing !
2012,The High Fructose Adventures of Annoying Orange,Himself,Episode : Generic Holiday Special
2012,Animal Man,Animal Man,4 episodes
2012,WordGirl,The Learnerer,The Learnerer/Mr . Big 's Dinner and a Scam Hard-Learned Money/Gift Pony
2013,Mad,Superman,Episode : Mad 's 100th Episode Special
"2014 , 2019",My Little Pony : Friendship Is Magic,Cheese Sandwich,Episodes : Pinkie Pride and The Last Laugh
2014,Wallykazam !,Wizard Jeff,Episode : Mustache Day
2015,Uncle Grandpa,Pal.0/Weird Pal,Episode : Pal.0
2015,Gravity Falls,Probabilitor,"Episode : Dungeons , Dungeons and More Dungeons"
2015,Wander Over Yonder,Dr. Screwball Jones,2 episodes
