Province,Capital,Area ( km² ),Population ( 2018 ),Density ( people/km² ),Districts
Central,Kabwe,"110,450","1,743,999",15.8,12
Copperbelt,Ndola,"31,328","2,642,132",81.2,11
Eastern,Chipata,"51,476","1,961,269",38.1,14
Luapula,Mansa,"50,567","1,215,294",24.0,12
Lusaka,Lusaka,"23,490","3,186,336",135.6,7
Muchinga,Chinsali,"87,806","1,011,655",11.5,10
North-Western,Solwezi,"125,826","902,631",7.2,11
Northern,Kasama,"77,650","1,430,543",18.4,12
Southern,Choma,"68,410","1,852,361",27.1,13
Western,Mongu,"126,386","1,041,500",8.2,16
Zambia,Lusaka,"752,612","13,092,666",17.3,118
