Title,Publisher,Genre ( s ),# of charting months,Peak position
Donkey Kong Country,Nintendo,Platform,8,# 1
NBA Jam : Tournament Edition,Acclaim Entertainment,Sports ( basketball ),6,# 1
Killer Instinct,Nintendo,Fighting,4,# 1
Justice League Task Force,Acclaim Entertainment,Fighting,4,# 2
Spider-Man,Acclaim Entertainment,Action,4,# 4
Judge Dredd,Acclaim Entertainment,Run and gun,3,# 1
Mortal Kombat 3,Williams Entertainment,Fighting,3,# 2
Kyle Petty 's No Fear Racing,Williams Entertainment,Racing,3,# 3
Kirby 's Avalanche,Nintendo,Puzzle,3,# 4
EarthBound,Nintendo,Role-playing,3,# 4
