#,Position :,Player,Transferred to,Fee,Date
99,FW,José Angulo,Pittsburgh Riverhounds,Option Declined,"November 19 , 2012"
27,FW,Jhonny Arteaga,Pittsburgh Riverhounds,Option Declined,"November 19 , 2012"
21,FW,Corey Hertzog,Vancouver Whitecaps FC,Option Declined,"November 19 , 2012"
8,MF,Jan Gunnar Solli,Vålerenga,Option Declined,"November 19 , 2012"
6,MF,Teemu Tainio,HJK Helsinki,Option Declined,"November 19 , 2012"
12,DF,Jonathan Borrajo,Mjøndalen IF,Option Declined,"November 19 , 2012"
22,DF,Stephen Keel,FC Dallas,Option Declined,"November 19 , 2012"
15,DF,Tyler Ruthven,IK Brage,Option Declined,"November 19 , 2012"
88,GK,Bill Gaudette,Free Agent,Option Declined,"November 19 , 2012"
24,GK,Jeremy Vuolo,San Antonio Scorpions,Option Declined,"November 19 , 2012"
9,FW,Sébastien Le Toux,Philadelphia Union,Traded for Josué Martínez and undisclosed allocation money,"December 6 , 2012"
4,DF,Rafael Márquez,Club León,Released,"December 12 , 2012"
44,MF,Victor Pálsson,NEC Nijmegen,Contract termination,"January 3 , 2013"
20,MF,Joel Lindpere,Chicago Fire,Traded for an International Roster Slot,"January 4 , 2013"
2,DF,Wilman Conde,Free Agent,Contract termination,"January 23 , 2013"
33,FW,Kenny Cooper,FC Dallas,Traded for undisclosed allocation money,"February 4 , 2013"
29,FW,Josué Martínez,Deportivo Saprissa,Waived,"March 29 , 2013"
92,MF,Rafinha,Grêmio Barueri,Waived,"June 27 , 2013"
8,MF,Juninho,Vasco da Gama,Contract Terminated,"July 3 , 2013"
6,DF,Digão,Retired,Contract Terminated,"July 19 , 2013"
