Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Ahmed Baday,Morocco,Long distance,2010,Biological passport anomalies,2 years
Ndiss Kaba Badji,Senegal,"Long jump , triple jump",2005,Androstenedione,2 years
Oleksandr Bagach,Soviet Union Ukraine,Shot put,1989 1997,Steroids Ephedrine,2 years Public warning and disqualification
José Alessandro Bagio,Brazil,Race walking,2010,19-Norandrosterone,2 years
Amina Bakhit,Sudan,Middle distance,2009,Norandrosterone,2 years
Sergey Bakulin,Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months
Živilė Balčiūnaitė,Lithuania,Long distance,2010,Testosterone,2 years
Michal Balner,Czech Republic,Pole vault,2010,Cannabis,1 month
Onalenna Baloyi,Botswana,Middle distance,2010,Methylhexanamine,2 years
Yuliya Balykina,Belarus,Sprinting,2013,Drostanolone,2 years
Falk Balzer,Germany,Hurdling,2001,Nandrolone,2 years
Konstadinos Baniotis,Greece,High jump,2013,Furosemide,Public warning
Jarrod Bannister,Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months
Kelly-Ann Baptiste,Trinidad and Tobago,Sprinting,,,2 years
Shawnacy Barber,Canada,Pole vault,2016,Cocaine,Public warning
Roberto Barbi,Italy,Marathon,1996 2001 2008,"Ephedrine EPO EPO , Ephedrine","3 months 4 years , reduced to 25 months Life ban"
Roxana Bârcă,Romania,Long distance running,2013,Methasterone,2 years
Randy Barnes,United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months Life ban
Yarelys Barrios,Cuba,Discus throw,2008,Acetazolamide,
Bruno de Barros,Brazil,Sprinting,2009,EPO,2 years
