Name of Town,State,Type,Population ( 2011 )
P.N.Patti,Tamil Nadu,T.P,"23,331"
Palampur,Himachal Pradesh,T.P,"23,331"
Pachora,Maharashtra,M.Cl,"45,333"
Pachore,Madhya Pradesh,N.P,"20,939"
Pacode,Tamil Nadu,T.P,"22,781"
Padmanabhapuram,Tamil Nadu,M,"20,075"
Padra,Gujarat,UA,"39,205"
Padrauna,Uttar Pradesh,M.B,"44,383"
Paithan,Maharashtra,M.Cl,"34,518"
Pakaur,Jharkhand,M,"36,029"
Palai,Kerala,M,"22,640"
Palani,Tamil Nadu,M,"67,231"
Palasa Kasibugga,Andhra Pradesh,N.P,"49,899"
Palghar,Maharashtra,M.Cl,"52,677"
Pali,Rajasthan,M,"20,942"
Palia Kalan,Uttar Pradesh,M.B,"35,029"
Palitana,Gujarat,M,"51,944"
Palladam,Tamil Nadu,T.P,"30,016"
Pallapatti,Tamil Nadu,C.T,"24,326"
Pallikonda,Tamil Nadu,T.P,"20,771"
