Rank,Name,Nation,TFP,SP,FS
1,Sydne Vogel,United States,2.0,2,1
2,Elena Sokolova,Russia,2.5,1,2
3,Elena Ivanova,Russia,7.0,6,4
4,Fumie Suguri,Japan,7.0,4,5
5,Elena Pingacheva,Russia,8.5,5,6
6,Julia Lautowa,Austria,9.0,12,3
7,Lucinda Ruh,Switzerland,12.5,3,11
8,Shizuka Arakawa,Japan,13.0,10,8
9,Shelby Lyons,United States,13.5,13,7
10,Fanny Cagnard,France,13.5,9,9
11,Gwenaëlle Jullien,France,14.0,8,10
12,Anna Neshcheret,Ukraine,15.5,7,12
13,Anina Fivian,Switzerland,21.0,14,14
14,Veronika Dytrt,Germany,22.5,19,13
15,Elena Volokhova,Ukraine,23.5,17,15
16,Joanne Carter,Australia,23.5,11,18
17,Sanna-Maija Wiksten,Finland,25.0,18,16
18,Zoe Jones,United Kingdom,27.0,20,17
19,Annie Bellemare,Canada,27.5,15,20
20,Klara Bramfeldt,Sweden,29.0,16,21
