Year,Player,Team,Position
1992,"Spiridon , Alexandru Alexandru Spiridon",Zimbru Chișinău,Midfielder
1993,"Curtianu , Alexandru Alexandru Curtianu",Zimbru Chișinău,Midfielder
1994,"Cleșcenco , Serghei Serghei Cleșcenco",Zimbru Chișinău,Forward
1995,"Testemițanu , Ion Ion Testemițanu",Zimbru Chișinău,Defender
1996,"Rogaciov , Serghei Serghei Rogaciov",Olimpia Bălți,Forward
1997,"Testemițanu , Ion Ion Testemițanu",Zimbru Chișinău,Defender
1998,"Curtianu , Alexandru Alexandru Curtianu",Zenit St. Petersburg,Midfielder
1999,"Epureanu , Sergiu Sergiu Epureanu",Zimbru Chișinău,Midfielder
2000,"Cleșcenco , Serghei Serghei Cleșcenco",Maccabi Haifa,Forward
2001,"Rogaciov , Serghei Serghei Rogaciov",Saturn Ramenskoe,Forward
2002,"Cebotari , Boris Boris Cebotari",Zimbru Chișinău,Midfielder
2003,"Covalciuc , Serghei Serghei Covalciuc",Karpaty Lviv,Midfielder
2004,"Covalciuc , Serghei Serghei Covalciuc",Karpaty Lviv,Midfielder
2005,"Covalciuc , Serghei Serghei Covalciuc",Spartak Moscow,Midfielder
2006,"Rebeja , Radu Radu Rebeja",FC Moscow,Midfielder
2007,"Epureanu , Alexandru Alexandru Epureanu",FC Moscow,Midfielder
2008,"Bordian , Vitalie Vitalie Bordian",Metalist Kharkiv,Defender
2009,"Epureanu , Alexandru Alexandru Epureanu",Dinamo Moscow,Midfielder
2010,"Epureanu , Alexandru Alexandru Epureanu",Dinamo Moscow,Midfielder
2011,"Suvorov , Alexandru Alexandru Suvorov",KS Cracovia,Midfielder
