US,Album,Artist,Record Label
42,16 Biggest Hits,Waylon Jennings,RCA Nashville
13,All of Me,Anne Murray,StraightWay
20,"Anthology , Volume 1",Chris LeDoux,Capitol Nashville
35,Barely Famous Hits,The Warren Brothers,BNA
47,Childish Things,James McMurtry,Compadre
14,Cost of Living,Delbert McClinton,New West
39,Country 's Got Heart,Various Artists,Time Life
13,Dream Big,Ryan Shupe & the RubberBand,Capitol Nashville
29,Dreamin ' My Dreams,Patty Loveless,Epic
36,Drinkin ' Songs and Other Logic,Clint Black,Equity
39,Everything and More,Billy Gilman,Image
28,"Glory Train : Songs of Faith , Worship , and Praise",Randy Travis,Word/Curb
43,Gold,Patsy Cline,MCA Nashville
14,Greatest Hits,Tracy Byrd,BNA
42,Hanna-McEuen,Hanna-McEuen,DreamWorks Nashville
13,Hits I Missed ... And One I Did n't,George Jones,Bandit
47,Hitstory,Elvis Presley,RCA
31,The Legend,Johnny Cash,Legacy
23,Man Like Me,Bobby Pinson,RCA Nashville
18,The Metropolitan Hotel,Chely Wright,Dualtone
