Name,Subject,Licensed,Produced
Lego Architecture,Buildings,Various,2008-present
Lego Boost,Robotics,Lego,2017-present
Lego BrickHeadz,Buildable characters,Various,2016-present
Lego City ( Lego Town from 1978 to 2002 ) ( Lego World City from 2003 to 2004 ),City life,Lego,1972-present
Lego Classic,Assorted Bricks,Lego,2015-present
Lego Creator,Models using few specialized bricks,Lego,2003-present
Lego Disney Princess,Disney Princess,Disney,2012-present
Lego DOTS,Arts and Crafts,Lego,2020-
Lego Duplo,Duplo,"Lego , Various",1969-present
Lego Friends,Friends,Lego,2012-present
Lego Hidden Side,Mystery solving with interactive augmented reality,Lego,2019-present
Lego Ideas,Community Supported Builds,Various,2008-present
Lego Juniors,Easy to build,"Lego , Various",2014-present
Lego Jurassic World,Jurassic Park,Universal Studios,"2015 , 2018-present"
Lego Mindstorms,Mindstorms,Lego,1998-present
Lego Minecraft,Minecraft,Mojang,2012-present
Lego Minifigures,Collectible minifigures,Lego,2010-present
Lego Minions,Minions : The Rise of Gru,Illumination,2020-
Lego Ninjago,Ninjago,Lego,2011-present
Lego Overwatch,Overwatch,Blizzard Entertainment,2019-present
