Title,Album ( s ),Year Released,Original Artist
Baby Can I Hold You,Live Cover,2001,Tracy Chapman
Almeno tu nell'universo,Lotus,2003,Mia Martini
Hallelujah,Lotus,2003,Leonard Cohen
Femme Fatale,Lotus,2003,The Velvet Underground
( Sittin ' on ) the Dock of the Bay,Broken EP,2003,Otis Redding
Redemption Song,Broken EP,2003,Bob Marley
People Are Strange,Live Cover,2006,The Doors
Wild Horses,Caterpillar,2007,Rolling Stones
Ode to My Family,Live Cover,2007,The Cranberries
Wuthering Heights,Live Cover,2008,Kate Bush
What 's Up ?,Live Cover,2008,4 Non Blondes
Calling You,Live Cover,2008,Jevetta Steele
Mercedes Benz,Live Cover,2008,Janis Joplin
Mad World,Heart,2009,Tears For Fears
River ( with Terra Naomi ),Live Cover,2009,Joni Mitchell
1979,Ivy,2010,The Smashing Pumpkins
Ho Messo via,Ivy,2010,Ligabue
I Never Came,Ivy,2010,Queens of the Stone Age
Pour Que l'Amour Me Quitte,Ivy,2010,Camille
Lilac Wine,Live Cover,2011,Jeff Buckley
