Year,Nominated work,Award,Result
2001,Refugee,Star Debut of the Year - Female,Won
2002,Kabhi Khushi Kabhie Gham,Best Supporting Actress,Nominated
2003,Mujhse Dosti Karoge !,Best Supporting Actress,Nominated
2004,,Style Diva of the Year,Won
2005,Aitraaz,Best Actress,Nominated
2007,Omkara,Best Actress,Nominated
2008,Jab We Met,Best Actress,Won
2009,,Star of the Decade - Female,Nominated
2010,3 Idiots,Best Actress,Won
2011,Golmaal 3,Best Actress,Nominated
2012,Bodyguard,Best Actress,Nominated
2013,Heroine,Best Actress,Nominated
