Pick #,MLS team,Player,Position,Affiliation
1,Dallas Burn,Chris Gbandi,D,University of Connecticut
2,New England Revolution,Taylor Twellman,F,1860 Munich
3,MetroStars,* Brad Davis,M,St. Louis University ( P-40 )
4,D.C. United,* Justin Mapp,M,Project-40
5,Chicago Fire,* Kelly Gray,M,University of Portland ( P-40 )
6,San Jose Earthquakes,Luchi Gonzalez,F,Southern Methodist University
7,MetroStars,Mansour Ndiaye,M,University of Connecticut
8,Columbus Crew,* Kyle Martino,M,University of Virginia ( P-40 )
9,Dallas Burn,Carl Bussey,D,Southern Methodist University
10,Chicago Fire,Billy Sleeth,D,University of Washington
11,D.C. United,Daouda Kanté,D,Florida International University
12,Dallas Burn,Lee Morrison,D,Stanford University
