2010,University,Country
01,University of California- Berkeley,US
02,The University of Tokyo,Japan
03,Massachusetts Institute of Technology,US
04,Kyoto University,Japan
05,Northwestern University,US
06,Harvard University,US
07,Osaka University,Japan
08,Stanford University,US
09,University of Cambridge,United Kingdom
10,Swiss Federal Institute of Technology- Zurich,Switzerland
11,Tohoku University,Japan
12,University of Illinois- Urbana-Champaign,US
13,Georgia Institute of Technology,US
14,California Institute of Technology,US
15,Swiss Federal Institute of Technology- Lausanne,Switzerland
16,Tsinghua University,China
17,Peking University,China
18,University of Michigan- Ann Arbor,US
19,University of California- Los Angeles,US
20,Seoul National University,South Korea
