Year,Show,Role,Channel,Notes
2002,Kya Hadsaa Kya Haqeeqat - Hadsaa,Neonika ( Nikki ) Chatterjee / Neonika Raj Karmarkar ( Episode 6 - Episode 29 ),Sony TV,Episodic Role ( Debut Show )
2002-2003,Kahi To Milenge,Sanjana,Sahara One,Lead Role
2003,Kya Hadsaa Kya Haqeeqat - Khaall,Natasha ( Episode 160 - Episode 176 ),Sony TV,Episodic Role
2003-2004 ; 2005-2007,Kasautii Zindagii Kay,Aparna Ghosh / Aparna Anurag Basu / Suchitra,Star Plus,Negative Role
2004-2005,Hum 2 Hain Na !,Anjali,Sony TV,Lead Role
2005,Raat Hone Ko Hai - Mariya,Sanjana ( Episode 229 - Episode 232 ),Sahara One,Episodic Role
2006-2008,Karam Apnaa Apnaa,Maya Kapoor,Star Plus,Negative Role
2007-2008,Jersey No . 10,Psychotherapist,SAB TV,Supporting Role
2010-2011,Tere Liye,Nilanjana Shekhar Ganguly,Star Plus,Supporting Role
2011,Adaalat - Zindaagi Milegi Dobaara : Part 1 & Part 2,Advocate Suchitra Silwadker ( Episode 69 & Episode 70 ),Sony TV,Episodic Role
2013-2015,Iss Pyaar Ko Kya Naam Doon ? ... Ek Baar Phir,Anjali Niranjan Agnihotri,Star Plus,Supporting Role
2016,Ek Duje Ke Vaaste,Nirmala Ramnath Malhotra,Sony TV,Supporting Role
2019-present,Naagin : Bhagya Ka Zehreela Khel,Vrushali Akash Parikh,Colors TV,Negative Role
