Name,Moving from,Moving to
Frans Adelaar,Unaffiliated,FC Volendam
Marco van Basten,Netherlands,Ajax
Ruud Brood,Unaffiliated,RKC Waalwijk
Fuat Çapa,Unaffiliated,MVV
Robert Maaskant,MVV,NAC Breda
Bert van Marwijk,Feyenoord,Netherlands
Steve McClaren,Unaffiliated,FC Twente
Edward Metgod,AZ,Telstar
Jan Poortvliet,Helmond Sport,Southampton
Fred Rutten,FC Twente,Schalke 04
Trond Sollied,A.A. Gent,SC Heerenveen
Huub Stevens,Hamburger SV,PSV
Gertjan Verbeek,SC Heerenveen,Feyenoord
André Wetzel,VVV-Venlo,ADO Den Haag
Hans Westerhof,Unaffiliated,Vitesse Arnhem
