Year,Film,Role,Notes
1982,Frost in May,Nanda ( as child ),Frost in May
1984,The Tripods,Fiona Vichot,"France : September , 2089 AD"
1985,Dreamchild,Lorina,
1988,Hellbound : Hellraiser II,Tiffany,
1990,Theatre Night,Iphigenia,Iphigenia at Aulis
1990,The Ruth Rendell Mysteries,Veronica Williams,An Unkindness of Ravens : Parts 1 & 2
1991,Lovejoy,Melissa Harrington-Morse,Sugar & Spice
1991,Screen One,Hayley Forbes-Clinton,Alive and Kicking
1992,The Good Guys,Jenny Toth,Horseplay
1992,May to December,Clothilde,Just Like a Woman
1992,Coronation Street,Vanessa Morgan,Recurring role
1992,Get Black,Michelle,You Never Give Me Your Money
1992-93,Casualty,Nikki Wyatt,Recurring role ( series 7 )
1993,Westbeach,Hannah Preston,Main role
