Site,Municipality,Type,Ref
* Taga-jō Site 多賀城跡附寺跡 Taga-jō ato tsuketari tera ato,Tagajō,"2 , 3",181
Iji Castle Site 伊治城跡 Iji-jō ato,Kurihara,2,3372
Tōmizuka Kofun 遠見塚古墳 Tōmizuka kofun,Sendai,1,210
Koganeyama Gold Mining Site 黄金山産金遺跡 Koganeyama sankin iseki,Wakuya,6,208
Iwakiri Castle Site 岩切城跡 Iwakiri-jō ato,Sendai / Rifu,2,231
Miyazawa Site 宮沢遺跡 Miyazawa iseki,Ōsaki,2,225
Former Yūbikan and Garden 旧有備館および庭園 kyū-Yūbikan oyobi teien,Ōsaki,4,185
Former Arikabe-juku Honjin 旧有壁宿本陣 kyū-Arikabe-juku honjin,Kurihara,6,213
Sanjūsangendō Government Offices Site 三十三間堂官衙遺跡 Sanjūsangendō kanga iseki,Watari,2,236
Sannō-Gakoi Site 山王囲遺跡 Sannō-Gakoi iseki,Kurihara,1,214
Yamamae Site 山前遺跡 Yamamae iseki,Misato,1,223
Yamahata Cave Tomb Cluster 山畑横穴群 Yamahata yokoana-gun,Ōsaki,1,217
Numazu Shell Mound 沼津貝塚 Numazu kaizuka,Ishinomaki,1,216
Jō Palisade Site 城生柵跡 Jō-no-saku iseki,Kami,2,230
Nishinohama Shell Mound 西の浜貝塚 Nishinohama kaizuka,Matsushima,1,218
Sendai Kōriyama Government Offices Site 仙台郡山官衙遺跡群 Sendai Kōriyama kanga iseki-gun,Sendai,2,00003496
Sendai Castle Site 仙台城跡 Sendai-jō ato,Sendai,2,3371
Sendai Domain Hanayama Village Nuruyu Bansho Site 仙台藩花山村寒湯番所跡 Sendai-han Hanayama-mura Nuruyu-bansho ato,Kurihara,6,204
Daikichiyama Tile Kiln Site 大吉山瓦窯跡 Daikichiyama kawara kama ato,Ōsaki,6,221
Daigigakoi Shell Mound 大木囲貝塚 Daigigakoi kaizuka,Shichigahama,1,209
