Location served,District,ICAO,IATA,Aerodrome Name
Belize City,BZ,MZBZ,BZE,Philip S. W. Goldson International Airport
Belize City,BZ,MZBE,TZA,Belize City Municipal Airport
Belmopan,CY,MZBP,BCV,Hector Silva Airstrip
Big Creek,SC,MZBG,BGK,Big Creek Airstrip
Caye Caulker,BZ,MZCK,CUK,Caye Caulker Airport
Caye Chapel,BZ,MZCP,CYC,Caye Chapel Airport
Chan Chen,CZ,MZJC,,Johnny Chan Chen Airstrip
Corozal,CZ,MZCZ,CZH,Corozal Airport ( Ranchito Airstrip )
Dangriga,SC,MZPB,DGA,Dangriga Airport
Gallon Jug,OW,MZGJ,,Chan Chich Airstrip
Hope Creek,SC,MZML,MDB,Melinda Airport
Independence,SC,MZSV,INB,Savannah Airport
Mountain Pine Ridge,CY,,,Privassion Airstrip
Orange Walk,OW,MZTH,ORZ,Orange Walk Airstrip
Placencia,SC,MZPL,PLJ,Placencia Airport
Punta Gorda,TO,MZPG,PND,Punta Gorda Airport
San Ignacio,CY,MZCF,SQS,Matthew Spain Airport
San Ignacio,CY,MZMF,CYD,Maya Flats Airport
San Pedro,BZ,MZSP,SPR,John Greif II Airport
Sarteneja,CZ,MZSJ,SJX,Sarteneja Airstrip
