Name,Area ( km ),Location
Atatürk Baraj Gölü,817 km,"Şanlıurfa , Adıyaman"
Keban Baraj Gölü,675 km,"Elazığ , Tunceli , Erzincan"
Ilısu Baraj Gölü,313 km,"Mardin , Şırnak , Siirt , Batman"
Karakaya Baraj Gölü,298 km,"Malatya , Elazığ , Diyarbakır"
Hirfanlı Baraj Gölü,263 km,"Ankara , Kırşehir"
Silvan Baraj Gölü,178 km,Diyarbakır
Altınkaya Baraj Gölü,118 km,Samsun
Alpaslan-1 Baraj Gölü,115 km,Muş
Sarıyar Baraj Gölü,83 km,"Ankara , Eskişehir"
Seyhan Baraj Gölü,67 km,Adana
Kılıçkaya Baraj Gölü,64 km,"Sivas , Giresun"
Aslantaş Baraj Gölü,49 km,Adana
Demirköprü Baraj Gölü,47 km,Manisa
Karacaören Baraj Gölü,45 km,"Burdur , Isparta"
Büyükçekmece Baraj Gölü,43 km,İstanbul
Menzelet Baraj Gölü,42 km,Kahramanmaraş
Arpaçay Baraj Gölü,41 km,Kars
