Round,Dates,Rally name,Surface
1,16-19 January,Internationale Jänner Rallye,Mixed
2,1-3 February,Rally Liepāja-Ventspils,Mixed
3,21-23 March,Rally Islas Canarias El Corte Inglés,Tarmac
4,25-27 April,Rallye Açores,Gravel
5,16-18 May,Tour de Corse,Tarmac
6,27-29 June,Ypres Rally,Tarmac
7,25-27 July,Sibiu Rally Romania,Gravel
8,30 August-1 September,Barum Czech Rally Zlín,Tarmac
9,13-15 September,Rally Poland,Gravel
10,26-28 September,Croatia Rally,Tarmac
11,10-12 October,Rallye Sanremo,Tarmac
12,7-9 November,Rallye International du Valais,Tarmac
